ID,name▾,zl,zs,theta_sep,source,,
79,SDSSJ0946+1835,0.388,4.799,3.05,McGreer et al. 2010,,
80,PSJ0949+4208,0.508,1.27,2.60,Lemon et al. 2018,,
81,FBQ0951+2635,0.260,1.247,1.10,Schechter et al. 1998,,
82,BRI0952-0115,0.632,4.5,0.99,McMahon et al. 1992,,
83,COSMOS5921+0638,0.551,3.14,1.0,Anguita et al. 2009,,
84,Q0957+561,0.3562,1.413,6.17,Walsh et al. 1979,,
85,SDSSJ1001+5027,0.415,1.841,2.93,Oguri et al. 2005,,
86,J1004+1229,0.95,2.64,1.54,Lacy et al. 2002,,
87,SDSSJ1004+4112,0.68,1.74,14.72,Inada et al. 2003,,
88,LBQS1009-0252,0.871,2.74,1.54,Hewett et al. 1994,,
9,DESJ0112-1650,0.54,0.99,1.38,Lemon et al. 2019,,
90,SDSSJ1021+4913,0.451,1.72,1.16,Pindor et al. 2006,,
91,FSC10214+4724,0.9?,2.286,1.59,Rowan-Robinson et al. 1991,,
92,SDSSJ1029+2623,0.584,2.199,22.54,Inada et al. 2006,,
93,B1030+074,0.599,1.535,1.65,Xanthopoulos et al. 1998,,
97,SDSSJ1055+4628,0.388,1.249,1.15,Kayo et al. 2010,,
98,HE1104-1805,0.729,2.32,3.19,Wisotzki et al. 1993,,
99,HE1113-0641,0.75?,1.235,0.66,Blackburne et al. 2004,,
,,,,,,,
,HSC J091843.27–022007.5,0.459,0.804,2.26,https://arxiv.org/abs/1704.01585,,
,CXCO J100201.50+020330.0,0.439,2.016,0.85,https://arxiv.org/abs/1704.01586,,
,SDSS J135944.21+012809.8,0.439,1.096,1.05,https://arxiv.org/abs/1704.01587,,
,J0030-3358,0.715,1.58,2.03,https://arxiv.org/abs/2409.17471,,
,J0156-2751,0,2.97,1.5,https://arxiv.org/abs/2409.17472,,
,J0907+0003,0.393,1.299,1.32,https://arxiv.org/abs/2409.17473,,
,SDSSJ0924+0219,0.439,1.685,1.34,https://arxiv.org/abs/2409.17474,,
,CXCOJ100201.50+020330.0,0.439,2.016,0.85,https://arxiv.org/abs/2409.17475,,
,J1037+0018,0,2.462,1.25,https://arxiv.org/abs/2409.17476,,
,KIDS1042+0023,0,2.26,1.45,https://arxiv.org/abs/2409.17477,,
,SDSSJ1138+0314,0.445,2.438,1.44,https://arxiv.org/abs/2409.17478,,
,SDSSJ1226-0006,0,1.125,1.21,https://arxiv.org/abs/2409.17479,,
,J1233-0227,0.345,1.598,1.76,https://arxiv.org/abs/2409.17480,,
,SDSSJ1332+0347,0.191,1.685,0.99,https://arxiv.org/abs/2409.17481,,
,J1335+0118,0.44,1.57,1.62,https://arxiv.org/abs/2409.17482,,
,J1359+0129,0,1.096,1.05,https://arxiv.org/abs/2409.17483,,
,SDSSJ1458-0202,0,1.724,2.15,https://arxiv.org/abs/2409.17484,,
,ULASJ1527+0141,0.3,1.439,2.55,https://arxiv.org/abs/2409.17485,,
,CY2201-3201,0.32,3.9,0.83,https://arxiv.org/abs/2409.17486,,
,J221849.86-332243.6,0,2,0.6,https://arxiv.org/abs/2409.17487,,
,KIDS2307-3039,0.46,2.64,2.64,https://arxiv.org/abs/2409.17488,,
,J2329-3409,0.381,1.59,1.59,https://arxiv.org/abs/2409.17489,,
,WISE 2344-3056,0,2.18,2.18,https://arxiv.org/abs/2409.17490,,
,DESI-028.0797-24.8105,0.286,2.42,1.93,https://arxiv.org/abs/2208.06356,,
,J0140-1152,0.28,1.8,1.45,https://arxiv.org/abs/1803.07601,,
,J0840+3550,0.26,1.77,2.46,https://arxiv.org/abs/1803.07602,,
,J0941+0518,0.34,1.54,5.4,https://arxiv.org/abs/1803.07603,,
,J0949+4208,0.51,1.27,2.57,https://arxiv.org/abs/1803.07604,,
,J1602+4526,0.43,2.16,2.7,https://arxiv.org/abs/1803.07605,,
,J0247--0800,0.198,3.28,1.68,https://arxiv.org/abs/2206.07714,,
,J0310--5545,0.298,2.31,3.57,https://arxiv.org/abs/2206.07715,,
,J0347--2154,0.187,0.81,1.87,https://arxiv.org/abs/2206.07716,,
,J0405--3730,0.2295,3.585,1.7,https://arxiv.org/abs/2206.07717,,
,J0416+7428,0.097,0.9,2.64,https://arxiv.org/abs/2206.07718,,
,J0635+6452,0.427,1.845,3.07,https://arxiv.org/abs/2206.07719,,
,J0643+2725,0.185,1.562,2.44,https://arxiv.org/abs/2206.07720,,
,J0911--0948,0.251,1.47,2.52,https://arxiv.org/abs/2206.07721,,
,J0918--0220,0.46,0.803,2.26,https://arxiv.org/abs/2206.07723,,
,J0921+3020,0.428,3.335,2.93,https://arxiv.org/abs/2206.07724,,
,J0924+4235,0.415,3.17,4.64,https://arxiv.org/abs/2206.07725,,
,J0936--1211,0.26,2,2.11,https://arxiv.org/abs/2206.07726,,
,J1003+0651,0.225,2.565,2.62,https://arxiv.org/abs/2206.07727,,
,J1303+1816,0.46,2.95,2.26,https://arxiv.org/abs/2206.07728,, 
,J1307+0642,0.23,2.03,3.51,https://arxiv.org/abs/2206.07729,,
,J1326+3020,0.339,1.852,2.11,https://arxiv.org/abs/2206.07730,,
,J1526--1400,0.096,0.648,2.65,https://arxiv.org/abs/2206.07731,,
,J1548--2914,0.38,1.545,1.99,https://arxiv.org/abs/2206.07732,,
,J2106--4944,0.29,1.296,2.09,https://arxiv.org/abs/2206.07733,,
